Company Name,Location,Description,Company YC Batch,Pill Values,Founders and LinkedIn URLs,Website URL,Additional Data
Airbnb,"San Francisco, CA, USA",Book accommodations around the world.,"W09; Consumer; Travel, Leisure and Tourism",W09,"Brian Chesky: https://www.linkedin.com/in/brianchesky/, Nathan Blecharczyk: https://www.linkedin.com/in/blecharczyk/, Joe Gebbia: https://www.linkedin.com/in/jgebbia/",http://airbnb.com
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Bird,"Amsterdam, NH, Netherlands",The world’s largest omnichannel communications platform,"S16; B2B; Engineering, Product and Design",S16,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Brex,"San Francisco, CA, USA","Business accounts, corporate cards, and spend management software.",W17; Fintech; Banking and Exchange,W17,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
The Athletic,"San Francisco, CA, USA",Subscription sports media.,S16; Consumer; Content,S16,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Codecademy,"New York, NY, USA",The leading online learning platform for technical skills.,S11; Education,S11,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Checkr,"San Francisco, CA, USA",People infrastructure for the future of work,S14; B2B; Human Resources,S14,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Lever,"San Francisco, CA, USA",Talent Acquisition Suite that combines ATS + Talent CRM,S12; B2B; Recruiting and Talent,S12,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Clipboard Health,Remote,Connects healthcare facilities with nurses nearby.,W17; Healthcare; Healthcare Services,W17,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Heap,"San Francisco, CA, USA",Captures user interactions with no code to generate analytics.,W13; B2B; Analytics,W13,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Sendwave,"Boston, MA, USA","Instant, no fee international remittances.",W12; Fintech; Payments,W12,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Deel,"San Francisco, CA, USA",The all-in-one HR and payroll platform for global teams,W19; B2B; Finance and Accounting,W19,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Clever,"San Francisco, CA, USA",The platform that powers technology in the classroom.,S12; Education,S12,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
Caper,"",Plug-and-play cashier-less retail powered by computer vision and AI,W16; B2B; Retail,W16,Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
"","","",N/A,"",Window not found,""
